Data,Hora,Liga,Time_Casa,Time_Visitante
14/01/2026,16:30,Bundesliga,Leipzig,Freiburg
14/01/2026,16:30,Bundesliga,Hoffenheim,M'gladbach
14/01/2026,16:45,Serie A,Inter,Lecce
14/01/2026,16:45,Scottish Premiership,Falkirk,Celtic
14/01/2026,16:45,Scottish Premiership,Hearts,St Mirren
15/01/2026,14:30,Serie A,Verona,Bologna
15/01/2026,16:30,Bundesliga,Augsburg,Union Berlin
15/01/2026,16:45,Serie A,Como,Milan
16/01/2026,14:30,Bundesliga 2,Fortuna,Bielefeld
16/01/2026,14:30,Bundesliga 2,Braunschweig,Magdeburg
16/01/2026,15:00,Ligue 1,AS Monaco,Lorient
16/01/2026,16:30,Bundesliga,Bremen,Frankfurt
16/01/2026,16:45,Serie A,Pisa,Atalanta
16/01/2026,16:45,Pro League,Club Brugge,La Louvière
16/01/2026,17:00,Championship,West Brom,Middlesbrough
16/01/2026,17:00,Ligue 1,PSG,Lille
17/01/2026,09:00,Bundesliga 2,Nürnberg,Elversberg
17/01/2026,09:00,Bundesliga 2,Dresden,Fürth
17/01/2026,09:00,Bundesliga 2,Münster,Karlsruhe
17/01/2026,09:30,Championship,Coventry,Leicester
17/01/2026,09:30,Championship,Ipswich,Blackburn
17/01/2026,09:30,Championship,Watford,Millwall
17/01/2026,09:30,Premier League,Man Utd Propaganda,Man City
17/01/2026,11:00,Serie A,Udinese,Inter
17/01/2026,11:30,Bundesliga,Dortmund,St. Pauli
17/01/2026,11:30,Bundesliga,Hoffenheim,Leverkusen
17/01/2026,11:30,Bundesliga,HSV,M'gladbach
17/01/2026,11:30,Bundesliga,Wolfsburg,Heidenheim
17/01/2026,11:30,Bundesliga,Köln,Mainz 05
17/01/2026,12:00,Championship,Southampton,Hull
17/01/2026,12:00,Championship,Charlton,Sheffield Utd
17/01/2026,12:00,Championship,Wrexham,Norwich
17/01/2026,12:00,Championship,Stoke,QPR
17/01/2026,12:00,Championship,Preston,Derby
17/01/2026,12:00,Championship,Oxford Utd,Bristol City
17/01/2026,12:00,Championship,Sheffield Wed,Portsmouth
17/01/2026,12:00,Premier League,Liverpool,Burnley
17/01/2026,12:00,Premier League,PaCrhtiedalssea Pesquisa Favoritos Perfil,Brentford
17/01/2026,12:00,Premier League,Tottenham,West Ham
17/01/2026,12:00,Premier League,Leeds,Fulham
17/01/2026,12:00,Premier League,Sunderland,Crystal Palace
17/01/2026,12:00,Pro League,Zulte Waregem,PaGrteidnaks Pesquisa Favoritos Perfil
17/01/2026,13:00,Ligue 1,Lens,Auxerre
17/01/2026,14:00,Serie A,Napoli,Sassuolo
17/01/2026,14:15,Pro League,Westerlo,Cercle Brugge
17/01/2026,14:30,Championship,Swansea,Birmingham
17/01/2026,14:30,Premier League,Forest,Arsenal
17/01/2026,14:30,Bundesliga,Leipzig,Bayern
17/01/2026,15:00,Ligue 1,Toulouse,Nice
17/01/2026,16:30,Bundesliga 2,Hertha,Schalke
17/01/2026,16:45,Serie A,Cagliari,Juventus
17/01/2026,16:45,Pro League,USG,Mechelen
17/01/2026,17:05,Ligue 1,Angers,Marseille
18/01/2026,08:30,Serie A,Parma,Genoa
18/01/2026,09:30,Bundesliga 2,Bochum,Darmstadt
18/01/2026,09:30,Bundesliga 2,Kiel,Paderborn Propaganda
18/01/2026,09:30,Bundesliga 2,Kaiserslautern,Hannover
18/01/2026,09:30,Pro League,Gent,Anderlecht
18/01/2026,11:00,Premier League,Wolves,Newcastle
18/01/2026,11:00,Serie A,Bologna,Fiorentina
18/01/2026,11:00,Ligue 1,Strasbourg,Metz
18/01/2026,11:30,Bundesliga,Stuttgart,Union Berlin
18/01/2026,12:00,Pro League,Dender,Royal Antwerp
18/01/2026,12:00,Trendyol Süper Lig,Galatasaray,Gaziantep
18/01/2026,12:00,Trendyol Süper Lig,Alanyaspor,Fenerbahçe
18/01/2026,12:00,Trendyol Süper Lig,Beşiktaş,Kayserispor
18/01/2026,12:00,Trendyol Süper Lig,Kocaelispor,Trabzonspor
18/01/2026,12:00,Trendyol Süper Lig,Başakşehir,Karagümrük
18/01/2026,12:00,Trendyol Süper Lig,Kasımpaşa,Antalyaspor
18/01/2026,12:00,Trendyol Süper Lig,Konyaspor,Eyüpspor Propaganda
18/01/2026,12:00,Trendyol Süper Lig,Göztepe,Rizespor
18/01/2026,12:00,Trendyol Süper Lig,Gençlerbirliği,PaSratimdassunspor Pesquisa Favoritos Perfil
18/01/2026,13:15,Ligue 1,Rennes,Le Havre
18/01/2026,13:15,Ligue 1,Nantes,Paris
18/01/2026,13:30,Premier League,Aston Villa,Everton
18/01/2026,13:30,Premier League,Aston Villa,Everton
18/01/2026,13:30,Bundesliga,Augsburg,Freiburg
18/01/2026,14:00,Serie A,Torino,Roma
18/01/2026,14:30,Pro League,Charleroi,Standard Liège
18/01/2026,15:15,Pro League,St. Truidense,OH Leuven
18/01/2026,16:00,La Liga,Real Madrid,Levante
18/01/2026,16:00,La Liga,Real Sociedad,Barcelona
18/01/2026,16:00,La Liga,Atl. Madrid,Alavés
18/01/2026,16:00,La Liga,Real Betis,Villarreal
18/01/2026,16:00,La Liga,Mallorca,Athletic Club
18/01/2026,16:00,La Liga,Espanyol,Girona
18/01/2026,16:00,La Liga,Elche,Sevilla
18/01/2026,16:00,La Liga,Getafe,Valencia
18/01/2026,16:00,La Liga,Celta,Rayo Vallecano
18/01/2026,16:00,La Liga,Osasuna,Real Oviedo
18/01/2026,16:45,Serie A,Milan,Lecce
18/01/2026,16:45,Ligue 1,Lyon,Brest
19/01/2026,14:30,Serie A,Cremonese,Verona
19/01/2026,16:45,Serie A,Lazio,Como
19/01/2026,17:00,Premier League,Brighton,Bournemouth
20/01/2026,16:45,Championship,Ipswich,Bristol City
20/01/2026,16:45,Championship,West Brom,Norwich
20/01/2026,16:45,Championship,Coventry,Millwall
20/01/2026,16:45,Championship,Preston,Hull
20/01/2026,16:45,Championship,Swansea,Blackburn
20/01/2026,16:45,Championship,Sheffield Wed,Birmingham
20/01/2026,16:45,Championship,Oxford Utd,QPR
20/01/2026,16:45,Championship,Charlton,Derby
20/01/2026,17:00,Championship,Wrexham,Leicester
21/01/2026,16:45,Championship,Southampton,Sheffield Utd
21/01/2026,16:45,Championship,Watford,Portsmouth
21/01/2026,17:00,Championship,Stoke,Middlesbrough
23/01/2026,14:30,Bundesliga 2,Darmstadt,PaNrtüidrnasberg Pesquisa Favoritos Perfil
23/01/2026,14:30,Bundesliga 2,Bielefeld,Kiel
23/01/2026,16:00,Ligue 1,Auxerre,PSG
23/01/2026,16:30,Bundesliga,St. Pauli,HSV
23/01/2026,16:45,Serie A,Inter,Pisa
23/01/2026,16:45,Pro League,Standard Liège,Gent
23/01/2026,17:00,Championship,Derby,West Brom
24/01/2026,09:00,Bundesliga 2,Karlsruhe,Hertha
24/01/2026,09:00,Bundesliga 2,Hannover,Fortuna
24/01/2026,09:00,Bundesliga 2,Fürth,Braunschweig
24/01/2026,09:30,Championship,Middlesbrough,Preston
24/01/2026,09:30,Championship,Millwall,Charlton
24/01/2026,09:30,Premier League,West Ham,Sunderland
24/01/2026,11:00,Serie A,Como,Torino
24/01/2026,11:30,Bundesliga,Bayern,Augsburg
24/01/2026,11:30,Bundesliga,Leverkusen,Bremen
24/01/2026,11:30,Bundesliga,Heidenheim,Leipzig
24/01/2026,11:30,Bundesliga,Frankfurt,Hoffenheim
24/01/2026,11:30,Bundesliga,Mainz 05,Wolfsburg
24/01/2026,12:00,Championship,Leicester,Oxford Utd
24/01/2026,12:00,Championship,Sheffield Utd,Ipswich
24/01/2026,12:00,Championship,QPR,Wrexham
24/01/2026,12:00,Championship,Blackburn,Watford
24/01/2026,12:00,Championship,Hull,Swansea
24/01/2026,12:00,Championship,Birmingham,Stoke
